respondent_id,submitted_at,consent,region,residence_zone,age_group,gender,race_color,income_group,education,consumption_frequency,consumer_profile,consumer_profile_raw,wine_types_raw,purchase_channels_raw,purchase_factors_raw,sustainable_attributes_raw,label_importance,monthly_consumption_estimate,consumption_intensity,label_importance_score,high_label_importance,consumer_knowledge_score,strategic_segment
110,2026-05-12 21:34:35.676,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação incompleta,1 vez por mês,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho espumante","Supermercados, Restaurantes e bares","Preço, Variedade, Recomendação (amigos, especialistas, avaliações), Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Preço",Extremamente importante,1.0,Frequência moderada,4,1,1,Potencial sustentável
111,2026-05-12 21:49:36.631,"Sim, aceito participar",Região Nordeste,Zona urbana,Entre 26 e 35 anos,Masculino,Amarela,De 1 a 2 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Vinho suave,Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Extremamente importante,0.5,Baixa frequência,4,1,1,Potencial sustentável
112,2026-05-12 22:15:18.462,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante, Vinho suave, Vinho demi-sec",Supermercados,"Preço, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço, Grau de inovação do produto",Muito importante,4.3,Alta frequência,3,1,1,Alta prioridade
113,2026-05-12 22:23:30.771,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,Menos de 1 salário mínimo,Pós-graduação incompleta,1 vez por semana,Apreciador técnico,"Apreciador, com conhecimentos técnicos",Não tenho preferência definida,"Supermercados, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Práticas sustentáveis e/ou impacto ambiental, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais",Muito importante,4.3,Alta frequência,3,1,3,Alta prioridade
114,2026-05-12 23:16:09.508,"Sim, aceito participar",Região Nordeste,Zona urbana,Entre 26 e 35 anos,Feminino,Parda,De 3 a 4 salários mínimos,Ensino superior completo,1 vez por mês,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho rosé, Vinho espumante, Vinho suave","Supermercados, Lojas online especializadas, Diretamente em vinícolas","Preço, Variedade, Vinícola / Produtor, Descrição sensorial (aroma, sabor estilo)","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Preço",Extremamente importante,1.0,Frequência moderada,4,1,2,Potencial sustentável
115,2026-05-13 08:04:50.887,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho espumante",Supermercados,"Preço, Região de origem, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência)",Moderadamente importante,4.3,Alta frequência,2,0,2,Consumidor frequente tradicional
116,2026-05-13 08:09:39.197,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas físicas especializadas, Lojas online especializadas","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Moderadamente importante,10.8,Alta frequência,2,0,2,Consumidor frequente tradicional
117,2026-05-13 08:59:01.821,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Profissional do setor,"Profissional da área de vinhos (ex.: sommelier, enólogo, atuação na indústria ou enoturismo)","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Lojas online especializadas, Diretamente em vinícolas","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Práticas sustentáveis e/ou impacto ambiental, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Grau de inovação do produto",Extremamente importante,10.8,Alta frequência,4,1,4,Alta prioridade
118,2026-05-13 09:18:24.761,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Masculino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por mês,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho licoroso e/ou fortificado","Supermercados, Lojas físicas especializadas","Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Preço",Moderadamente importante,1.0,Frequência moderada,2,0,2,Baixa prioridade
119,2026-05-13 09:29:07.672,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho demi-sec","Supermercados, Lojas físicas especializadas","Preço, Variedade, Recomendação (amigos, especialistas, avaliações)","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo",Muito importante,0.5,Baixa frequência,3,1,2,Potencial sustentável
120,2026-05-13 09:44:44.985,"Sim, aceito participar",Região Sudeste,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação incompleta,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho demi-sec","Supermercados, Lojas online especializadas","Preço, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Design e informação do rótulo, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Muito importante,2.0,Frequência moderada,3,1,2,Potencial sustentável
121,2026-05-13 10:23:24.547,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Vinho tinto seco,"Supermercados, Lojas online especializadas, Diretamente em vinícolas","Preço, Variedade","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Grau de inovação do produto",Extremamente importante,4.3,Alta frequência,4,1,1,Alta prioridade
122,2026-05-13 10:41:22.913,"Sim, aceito participar",Região Sudeste,Zona urbana,Acima de 55 anos,Feminino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,De 4 a 6 vezes por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas online especializadas, Restaurantes e bares","Preço, Região de origem, Variedade, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Descrição sensorial (aroma, sabor estilo), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Muito importante,21.5,Alta frequência,3,1,2,Alta prioridade
123,2026-05-13 11:00:26.718,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,Parda,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez a cada 15 dias,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho espumante, Vinho demi-sec","Supermercados, Restaurantes e bares","Preço, Região de origem, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Pouco importante,2.0,Frequência moderada,1,0,3,Baixa prioridade
124,2026-05-13 11:20:11.451,"Sim, aceito participar",Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Branca,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco","Supermercados, Lojas físicas especializadas","Preço, Região de origem, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Presença de certificações ou selos ambientais, Preço",Extremamente importante,2.0,Frequência moderada,4,1,1,Potencial sustentável
125,2026-05-13 11:35:35.021,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Branca,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho demi-sec","Supermercados, Lojas físicas especializadas, Restaurantes e bares","Preço, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Promoções ou descontos, Quantidade de tanino, pois tenho enxaqueca e evito vinhos com muito tanino.","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Preço",Muito importante,4.3,Alta frequência,3,1,1,Alta prioridade
126,2026-05-13 11:40:02.799,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Masculino,Branca,De 3 a 4 salários mínimos,Ensino superior completo,1 vez a cada 15 dias,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho rosé",Restaurantes e bares,"Preço, Região de origem, Recomendação (amigos, especialistas, avaliações), Promoções ou descontos, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Presença de certificações ou selos ambientais",Extremamente importante,2.0,Frequência moderada,4,1,2,Potencial sustentável
127,2026-05-13 11:42:50.618,"Sim, aceito participar",Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino superior completo,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico","Vinho tinto seco, Vinho branco seco",Supermercados,"Preço, Região de origem, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações)","Qualidade sensorial (sabor, aroma, equilíbrio), Sustentabilidade ambiental (menor impacto no cultivo), Origem das uvas (região/procedência), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Grau de inovação do produto",Muito importante,0.5,Baixa frequência,3,1,1,Potencial sustentável
128,2026-05-13 11:50:12.532,"Sim, aceito participar",Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Parda,De 3 a 4 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador interessado,"Apreciador, com interesse pelo tema","Vinho tinto seco, Vinho branco seco, Vinho espumante, Vinho licoroso e/ou fortificado","Supermercados, Lojas físicas especializadas, Lojas online especializadas, Restaurantes e bares","Preço, Região de origem, Variedade, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo, Curiosidade ou interesse por novos produtos","Qualidade sensorial (sabor, aroma, equilíbrio), Clareza e transparência das informações no rótulo, Presença de certificações ou selos ambientais, Preço",Moderadamente importante,4.3,Alta frequência,2,0,2,Consumidor frequente tradicional
129,2026-05-13 11:52:14.975,"Sim, aceito participar",Região Sul,Zona urbana,Acima de 55 anos,Feminino,Branca,De 5 a 6 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,"Consumidor ocasional, sem conhecimento técnico",Não tenho preferência definida,Lojas físicas especializadas,"Preço, Região de origem, Vinícola / Produtor, Recomendação (amigos, especialistas, avaliações), Design e informação do rótulo","Qualidade sensorial (sabor, aroma, equilíbrio), Origem das uvas (região/procedência), Preço",Extremamente importante,0.5,Baixa frequência,4,1,1,Potencial sustentável
130,2026-05-13 12:03:48.857,"Sim, aceito participar",Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,Branca,De 3 a 4 salários mínimos,Ensino superior incompleto,1 vez por mês,Apreciador técnico,"Apreciador, com conhecimentos técnicos","Vinho tinto seco, Vinho branco seco, Vinho rosé, Vinho espumante","Supermercados, Lojas físicas especializadas, Diretamente em vinícolas, Restaurantes e bares","Preço, Região de origem, Recomendação (amigos, especialistas, avaliações), Práticas sustentáveis e/ou impacto ambiental, Curiosidade ou interesse por novos produtos","Origem das uvas (região/procedência), Preço",Muito importante,1.0,Frequência moderada,3,1,3,Potencial sustentável
